PlayStation 2 in the first 60 days will generate $ 1 billion in retail .	PlayStation 2 ! product ; the first 60 days ! date ; $ 1 billion ! money ;
With the damaged Cole as a grim backdrop to the ongoing investigation , Yemen authorities detained a carpenter who they say actually helped the terrorist load the bomb on the suicide boat at this safe house .	Cole ! product ; Yemen ! country ;
Secondly , it issues bonds to financial institutions .	Secondly ! order ;
Many commuters who normally drove across the Bay Bridge , which is shut down for several weeks because of damage to one span , actually may have reached work a bit faster on BART yesterday , provided they could find a parking space at the system 's jammed stations .	the Bay Bridge ! fact ; several weeks ! date ; one ! num ; BART yesterday ! org ;
An engaging conversationalist even in broken English , he loves to talk about Baghdad , his infant daughter , and his wife , an outspoken woman several years his senior , whom he calls a genius .	English ! language ; Baghdad ! country ;
DALKON SHIELD CLAIMANTS hope to stop reorganization - plan appeal .	DALKON SHIELD ! product ;
The large - scale renovation of the Grand Canal has improved the investment environment of the cities and counties along the canal , has attracted foreign investment with its benefit of advantageous water transportation , and has promoted the development of an export - oriented economy .	the Grand Canal ! fact ;
" The wonderfully weird visual style differs greatly from her old works , " notes the program of the Taipei Film Festival .	the Taipei Film Festival ! thing ;
`` Tomorrow morning I will inform the President of my decision to resign , '' said Mr. Barak .	Tomorrow morning ! time ; Barak ! person ;
If Taiwan does not respond in time , it will be forced into an increasingly passive position .	Taiwan ! country ;
Today , it 's obvious that the brawny , six - foot , one - inch musician made the right choice .	six - foot , one - inch ! measure ;
The `` Truman '' is the first East Coast - based carrier to return from the war .	Truman ! product ; East Coast ! location ;
First , though with what some believe is a case in point from Tampa , Florida , Samuel Arianna a former college professor in Florida who was arrested in February and charged of being a North America head of a Palestinian group Islamic Jihad .	First ! order ; Tampa ! country ; Florida ! country ; Samuel Arianna ! person ; Florida ! country ; February ! date ; North America ! location ; Palestinian ! national ; Islamic Jihad ! org ;
The white book on economy edited by Hong Ma , honorary director , and Shangqing Sun , director of the State Council 's Development Research Center , won the title of " China 's ten best economy books " .	The white book on economy ! art ; Hong Ma ! person ; Shangqing Sun ! person ; the State Council 's Development Research Center ! org ; China ! country ; ten ! num ;
p. 85	85 ! num ;
In addition , currently one of its reporters is still detained by the US at the Guantanamo military base .	US ! country ; Guantanamo ! fact ;
Proceeds from the sale will be used for remodeling and refurbishing projects , as well as for the planned MGM Grand hotel / casino and theme park .	MGM Grand ! org ;
Cheng Yung - gwo 's dream is to sit at home around a fire with a few friends , firing pots and drinking wine .	Cheng Yung - gwo 's ! person ;
So then , in practice , I let the peasants invest 50 yuan for each mu of land , invest , 50 yuan .	50 yuan ! money ; 50 yuan ! money ;
The former Yugoslav President Zoran Lilic has recently left the Socialist Party .	Yugoslav ! national ; Zoran Lilic ! person ; the Socialist Party ! org ;
The amount of agreed investment was more than 900 million US dollars , in which Taiwanese capital accounted for 73.8 % .	900 million US dollars ! money ; Taiwanese ! national ; 73.8 % ! per ;
Justice has finally recognized its employees ' abuses , thanks largely to the demands for reform by former U.S. attorney in Washington Joseph diGenova , who wants to salvage RICO for real criminals .	Justice ! org ; U.S. ! country ; Washington Joseph diGenova ! country ; RICO ! person ;
They , eh , also speak Arabic , right ?	Arabic ! language ;
Because the language taboo has long carried heavy political undertones - the opposition has always preferred the use of Taiwanese , the ruling party has , until recently , almost exclusively favored Mandarin - the producers invited many people from the arts community to confirm that Taiwanese was essential for the program , so as to dispel the suspicions of those who would see political motives behind language choice .	Taiwanese ! language ; Mandarin ! language ; Taiwanese ! language ;
Thus far there is no indication that they have been re-supplied with Stingers or other anti-aircraft weapons .	Stingers ! product ;
On the Karl Rove controversy that erupted this week the deputy white house chief of staff said this in New York /.	Karl Rove ! person ; this week ! date ; white house ! org ; New York ! country ;
You 're looking at the picture of Air Force One taxiing in on the tarmac , getting ready for the President .	Air Force One ! product ;
I do n't even know if I even want to tackle a Spanish yet	Spanish ! language ;
Under Chapter 11 , a company operates under protection from creditors ' lawsuits while it works out a plan to pay debts .	Chapter 11 ! law ;
so it 's kind of weird to walk that balance like well you know , one minute we 're talking seriously like where would we live if we wanted to be together and the next you know I 'm like Wow . wait a minute	one minute ! time ;
The afternoon and evening demonstrations organized by the group The World Ca n't Wait led police to close many streets around a federal building in West LA /.	afternoon ! time ; evening ! time ; The World Ca n't Wait ! org ; LA ! country ;
like what the hell 's that called in English ? I have to register to be here like since I 'm a foreigner .	English ! language ;
Clearly , this is a man who was travelling on some other passport somewhere in Europe , whether or not an Israeli citizen , we do n't know it for sure .	Europe ! location ; Israeli ! national ;
The head of the Palestinian delegation , Ahmed Kurai says if opposition candidate Ariel Sharon comes to power in Israel 's election next month , the Palestinians are ready to negotiate with him .	Palestinian ! national ; Ahmed Kurai ! person ; Ariel Sharon ! person ; Israel ! country ; next month ! date ; Palestinians ! national ;
They can cut this to $ 691.09 a month if the investing keeps up through college .	691.09 ! money ;
The report by the Western government , which declines to be identified , concludes that `` a near - term foreign - exchange payment problem can be avoided only if import growth drops to below 5 % per annum . ''	below 5 % ! per ;
`` At this price , $ 18 plus or minus , and with costs being significantly less than they were several years ago , the economics are pretty good , '' says George Kadane , head of the company .	18 ! money ; several years ago ! date ; George Kadane ! person ;
In accordance with Title 17 U.S.C. Section 107	Title 17 U.S.C. Section 107 ! law ;
The Nobel committee made the first addition ; John Dingell 's congressional committee created the second .	Nobel ! art ; first ! order ; John Dingell 's ! person ; second ! order ;
Following the Amorgos oil spill , we saw the public and the military working hard to scoop up bucket after bucket of oil .	Amorgos ! country ;
Dome officials had to seek an additional 265 million dollars to complete the structure .	Dome ! fact ; 265 million dollars ! money ;
Besides the Naval Hospital outside Washington , D.c. , has already treated more than 200 Marines and sailors from the war in Iraq .	the Naval Hospital ! fact ; Washington , D.c. ! country ; more than 200 Marines ! num ; Iraq ! national ;
Massive demonstrations drove the military from power and two opposition leaders are fighting to fill the void .	two ! num ;
In the 1970s , faced with two oil crises and inflation , the idea of buying property to preserve value became widespread , and those who could afford it bought land and houses .	the 1970s ! date ; two ! num ;
But it is said that Qatar is democratic .	Qatar ! country ;
Well , in politics , he will go against you , eh , mainly on the issues of Yasukuni Shrine and textbooks , but in economic and trade affairs , er , he still wants to safeguard Japan 's economic rights .	Yasukuni Shrine ! art ; Japan ! country ;
That 's what makes the Patriot Act so important /.	the Patriot Act ! law ;
In a letter Monday to Mr. Saltzburg , the judge said he would `` reluctantly '' accept the resignation .	Monday ! date ; Saltzburg ! person ;
Even modernized , he said , the Crusaders represent an obsolete and dangerous protection for the aircraft carriers France has sent to meet such crises as the wars in Lebanon and the Persian Gulf .	Crusaders ! product ; France ! country ; Lebanon ! country ; the Persian Gulf ! location ;
They all tell me , the soldiers you talk to and also some of the information people here at Fort Hood , they train like they fight .	Fort Hood ! fact ;
To discuss the new first lady , we are rejoined by our panel .	first ! order ;
Though the play clearly is framed around the events of Iran - Contra , it takes in the wide sweep of scandals over the past 30 years .	Iran - Contra ! thing ; the past 30 years ! date ;
The agreement allows Palauan products to enter the States tax - free , and there are no quota limits for such things as textiles .	Palauan ! national ; States ! country ;
Title : Letting Them Go	Letting Them Go ! art ;
Let 's talk about what Ms. Johnson wrote in the `` Washington Post '' today .	Johnson ! person ; the `` Washington Post '' today ! org ;
but the likely market for the market created by such zoning might only be 15 % of the population .	15 % ! per ;
The book by the way is Between You and Me /.	Between You and Me ! art ;
There 's five of us on staff .	five ! num ;
" Three transformations " are to be realized : to immediately develop from single export processing to comprehensive functionality , to transform from a focus on traditional industries into focusing on developing of the new technology industry , and to transform from a focus on scattered , small - scale investment attraction into actively introducing large industry & trade projects from foreign multinational companies and groups .	Three ! num ;
And I think it 's perfectly clear uh that he made the argument to the president that you do n't wobble on this one , that this is an important player in our agenda with the United Nations /.	the United Nations ! org ;
Well , how will the four northern islands issue dead knot be untied ?	four ! num ;
To welcome the Chinese New Year holiday , ambassador Fangbo Cai held a grand cocktail party , entertaining more than 500 overseas Chinese residing in France .	Chinese New Year ! thing ; Fangbo Cai ! person ; more than 500 ! num ; Chinese ! national ; France ! country ;
He joined , and often led , the rest of an intellectually degraded administration , heedless of Constitutional and human rights , in violating the very heart of their ostensibly conservative convictions .	Constitutional ! law ;
The defect is in the officials in the sectors of the Interior , and then its failure in all cities and all sectors is the crisis .	Interior ! org ;
Regulations governing reconstruction in the wake of the September 21 earthquake : This law will govern reconstruction after the expiration of the original emergency decree .	the September 21 earthquake ! thing ;
During the War of Resistance against Japan , the Zhengtai Railway was a key strategic transportation line for the Japanese army in North China .	the War of Resistance against Japan ! thing ; the Zhengtai Railway ! fact ; Japanese ! national ; North China ! location ;
You know she has a second Masters in English as -- I know . -- a second language .	English ! language ; second ! order ;
but it 's pretty fun I think , because they had French , and German , and Asian , and	French ! national ; German ! national ; Asian ! national ;
Uh and there 's a number of commentators from the left and right that agree that this is not in the constitution /.	constitution ! law ;
At Arlington National Cemetery , the first of the funerals .	Arlington National Cemetery ! fact ; first ! order ;
Japanese auto makers are known for coming up with funny names , but this year the practice seems to have reached a new high -- or low .	Japanese ! national ; this year ! date ;
This is not a breach of the Geneva Convention .	the Geneva Convention ! law ;
The assistant director , who was Australian , looked aghast , as if Clara was a witch who was abusing a poor child . "	Australian ! national ; Clara ! person ;
A national weeklong terror drill began in Seattle and an industrial lot in the city . strewn with smashed cars , buses and other debris representing the hypothetical damage from a fan that sized radioactive dirty bomb .	weeklong ! date ; Seattle ! country ;
This morning Hamas vows revenge for an Israeli missile attack .	This morning Hamas ! time ; Israeli ! org ;
Adults under age 30 like sports cars , luxury cars , convertibles and imports far more than their elders do .	under age 30 ! date ;
By the time litigation would be filed , the United States was already 18 months into the occupation of Iraq .	the United States ! country ; 18 months ! date ; Iraq ! country ;
He wants his children to be better prepared for life than he was , so like the children of many of his friends and relatives , they began learning English in kindergarten .	English ! language ;
